,Organism ,Order ,Family ,Genus 
0,Meriones unguiculatus ,Rodentia ,Muridae ,Meriones 
1,Mesocricetus auratus ,Rodentia ,Cricetidae ,Mesocricetus 
2,Microcebus murinus ,Primates ,Cheirogaleidae ,Microcebus 
3,Microtus ochrogaster ,Rodentia ,Cricetidae ,Microtus 
4,Mirounga leonina ,Carnivora ,Phocidae ,Mirounga 
5,Molossus molossus ,Chiroptera ,Molossidae ,Molossus 
6,Monodelphis domestica ,Didelphimorphia ,Didelphidae ,Monodelphis 
7,Monodon monoceros ,Artiodactyla ,Monodontidae ,Monodon 
8,Mus caroli ,Rodentia ,Muridae ,Mus 
9,Mus musculus ,Rodentia ,Muridae ,Mus 
10,Mus pahari ,Rodentia ,Muridae ,Mus 
11,Mustela erminea ,Carnivora ,Mustelidae ,Mustela 
12,Mustela putorius ,Carnivora ,Mustelidae ,Mustela 
13,Myotis brandtii ,Chiroptera ,Vespertilionidae ,Myotis 
14,Myotis davidii ,Chiroptera ,Vespertilionidae ,Myotis 
15,Myotis lucifugus ,Chiroptera ,Vespertilionidae ,Myotis 
16,Myotis myotis ,Chiroptera ,Vespertilionidae ,Myotis 
17,Nannospalax galili ,Rodentia ,Spalacidae ,Nannospalax 
18,Neophocaena asiaeorientalis ,Artiodactyla ,Phocoenidae ,Neophocaena 
19,Leopardus geoffroyi ,Carnivora ,Felidae ,Leopardus 
20,Nomascus leucogenys ,Primates ,Hylobatidae ,Nomascus 
21,Delphinus delphis ,Artiodactyla ,Delphinidae ,Delphinus 
22,Mesoplodon densirostris ,Artiodactyla ,Ziphiidae ,Mesoplodon 
23,Lagenorhynchus albirostris ,Artiodactyla ,Delphinidae ,Lagenorhynchus 
24,Panthera onca ,Carnivora ,Felidae ,Panthera 
25,Dama dama ,Artiodactyla ,Cervidae ,Dama 
26,Eubalaena glacialis ,Artiodactyla ,Balaenidae ,Eubalaena 
27,Bos javanicus ,Artiodactyla ,Bovidae ,Bos 
