"","external_gene_name","reg","orgname"
"1",NA,"X:74257521:74261635","nvison"
"2",NA,"1:26465185:26467809","nvison"
"3",NA,"1:26462528:26464413","nvison"
"4",NA,"1:26459176:26460648","nvison"
"5",NA,"10:19629142:19630733","nvison"
"6",NA,"10:53448028:53449282","nvison"
"7",NA,"1:25488264:25489431","nvison"
"8",NA,"1:26460731:26461798","nvison"
"9",NA,"10:53445038:53446045","nvison"
"10",NA,"10:53441907:53443127","nvison"
"11",NA,"10:53446911:53447814","nvison"
"12",NA,"10:53441139:53441862","nvison"
"13",NA,"10:53444409:53445037","nvison"
"14",NA,"10:34104194:34104712","nvison"
"15",NA,"11:138573390:138573638","nvison"
"16",NA,"10:34101964:34102418","nvison"
"17",NA,"10:34103105:34103597","nvison"
"18",NA,"10:19628231:19628821","nvison"
"19",NA,"1:26461883:26462197","nvison"
"20",NA,"10:34099880:34100246","nvison"
"21",NA,"10:53443723:53444384","nvison"
"22",NA,"12:119597236:119597636","nvison"
"23",NA,"1:26468210:26468565","nvison"
"24",NA,"10:34101461:34101711","nvison"
"25",NA,"6:2613305:2613579","nvison"
"26",NA,"12:96897485:96897765","nvison"
"27",NA,"6:2613305:2613528","nvison"
"28",NA,"4:200287671:200288018","nvison"
"29",NA,"7:182030213:182030688","nvison"
"30",NA,"6:2613348:2613600","nvison"
"31",NA,"6:2613406:2613642","nvison"
"32",NA,"12:100794922:100795157","nvison"
"33",NA,"6:2613456:2613696","nvison"
"34",NA,"7:141811363:141811520","nvison"
"35",NA,"1:253080268:253080385","nvison"
"36",NA,"X:9516192:9516375","nvison"
"37",NA,"X:73457375:73457543","nvison"
"38",NA,"2:25377651:25377762","nvison"
"39",NA,"X:9515851:9516104","nvison"
"40",NA,"10:19631137:19631524","nvison"
"41",NA,"7:110387093:110387247","nvison"
"42",NA,"1:26464586:26464758","nvison"
"43",NA,"10:34100681:34100938","nvison"
"44",NA,"6:2613514:2613694","nvison"
"45",NA,"4:137576378:137576621","nvison"
"46",NA,"6:2613522:2613699","nvison"
"47",NA,"9:100504115:100504256","nvison"
"48",NA,"6:2613571:2613699","nvison"
"49",NA,"9:100504122:100504252","nvison"
"50",NA,"11:29778394:29778477","nvison"
"51",NA,"1:297030006:297030112","nvison"
"52",NA,"1:316244135:316244341","nvison"
"53",NA,"3:2135960:2136150","nvison"
"54",NA,"8:12494882:12495011","nvison"
"55",NA,"8:12494884:12495010","nvison"
"56",NA,"3:2136018:2136149","nvison"
"57",NA,"3:199012685:199012913","nvison"
"58",NA,"3:199012716:199012970","nvison"
"59",NA,"9:100504115:100504252","nvison"
"60",NA,"7:45671351:45671460","nvison"
"61",NA,"7:100629482:100629689","nvison"
"62",NA,"1:26464478:26464576","nvison"
"63",NA,"12:6694282:6694422","nvison"
"64",NA,"3:2135978:2136112","nvison"
"65",NA,"6:5298127:5298351","nvison"
"66",NA,"8:132124355:132124463","nvison"
"67",NA,"9:2307615:2307751","nvison"
"68",NA,"10:56095945:56096085","nvison"
"69",NA,"8:973294:973439","nvison"
"70",NA,"8:132124380:132124465","nvison"
"71",NA,"9:101496014:101496124","nvison"
"72",NA,"12:6694276:6694415","nvison"
"73",NA,"3:203317854:203317981","nvison"
"74",NA,"8:12494942:12495010","nvison"
"75",NA,"9:100504168:100504256","nvison"
"76",NA,"X:94650204:94650256","nvison"
"77",NA,"2:43785344:43785465","nvison"
"78",NA,"9:100504161:100504248","nvison"
"79",NA,"13:78486925:78486984","nvison"
"80",NA,"3:162954057:162954149","nvison"
"81",NA,"5:55366485:55366587","nvison"
"82",NA,"8:2172160:2172224","nvison"
"83",NA,"9:101496006:101496124","nvison"
"84",NA,"10:3294654:3294706","nvison"
"85",NA,"11:106745618:106746936","nvison"
"86",NA,"13:94614440:94617005","nvison"
"87",NA,"14:31433268:31434783","nvison"
"88",NA,"13:94617949:94619254","nvison"
"89",NA,"8:83162988:83164170","nvison"
"90",NA,"7:181769417:181770609","nvison"
"91",NA,"14:31432231:31433213","nvison"
"92",NA,"6:116529725:116530761","nvison"
"93",NA,"7:181771317:181772312","nvison"
"94",NA,"7:181774048:181775337","nvison"
"95",NA,"1:217461256:217462438","nvison"
"96",NA,"6:116528427:116529534","nvison"
"97",NA,"7:181776603:181777600","nvison"
"98",NA,"13:94620562:94621263","nvison"
"99",NA,"7:181779489:181780177","nvison"
"100",NA,"13:94595629:94596243","nvison"
"101",NA,"11:142607219:142607875","nvison"
"102",NA,"X:17782291:17782785","nvison"
"103",NA,"13:94617145:94617708","nvison"
"104",NA,"1:217462478:217463121","nvison"
"105",NA,"8:83160653:83161034","nvison"
"106",NA,"8:83162292:83162612","nvison"
"107",NA,"7:181770731:181771221","nvison"
"108",NA,"8:83161764:83162063","nvison"
"109",NA,"1:217463196:217463566","nvison"
"110",NA,"11:59160124:59160412","nvison"
"111",NA,"7:181768663:181768849","nvison"
"112",NA,"7:100305628:100305885","nvison"
"113",NA,"10:847368:847523","nvison"
"114",NA,"13:94594946:94595290","nvison"
"115",NA,"14:31434822:31434992","nvison"
"116",NA,"1:137051661:137051863","nvison"
"117",NA,"7:100305616:100305841","nvison"
"118",NA,"3:623206:623443","nvison"
"119",NA,"7:100305707:100305903","nvison"
"120",NA,"13:1800231:1800429","nvison"
"121",NA,"7:100305679:100305901","nvison"
"122",NA,"4:230550022:230550265","nvison"
"123",NA,"6:80845524:80846307","nvison"
"124",NA,"5:8153454:8153683","nvison"
"125",NA,"1:217460240:217460975","nvison"
"126",NA,"2:224402141:224402372","nvison"
"127",NA,"5:8153383:8153643","nvison"
"128",NA,"2:3711608:3711860","nvison"
"129",NA,"5:8153417:8153658","nvison"
"130",NA,"2:3711770:3712020","nvison"
"131",NA,"2:3711864:3712099","nvison"
"132",NA,"13:94596268:94596517","nvison"
"133",NA,"5:8153466:8153685","nvison"
"134",NA,"13:1800239:1800429","nvison"
"135",NA,"10:39563125:39563350","nvison"
"136",NA,"10:39563171:39563339","nvison"
"137",NA,"6:2797311:2797477","nvison"
"138",NA,"7:120751269:120751383","nvison"
"139",NA,"7:181773219:181773461","nvison"
"140",NA,"12:62528561:62528706","nvison"
"141",NA,"13:1800227:1800385","nvison"
"142",NA,"2:3711728:3711962","nvison"
"143",NA,"10:9414020:9414205","nvison"
"144",NA,"10:39563180:39563355","nvison"
"145",NA,"13:1800227:1800421","nvison"
"146",NA,"6:116528337:116528432","nvison"
"147",NA,"7:31498289:31498506","nvison"
"148",NA,"12:117770032:117770219","nvison"
"149",NA,"5:8153349:8153622","nvison"
